item_name	item_price	item_attribute_name	item_attribute	website_category	link
Hausmeister HM3108 hűtőszekrény	35 990 Ft	Garancia	2 éves	edigital_refrigerator	https://edigital.hu/egyajtos-huto/hausmeister-hm3108-hutoszekreny-p445487
Hausmeister HM3108 hűtőszekrény	35 990 Ft	Kivitel	Szabadon álló	edigital_refrigerator	https://edigital.hu/egyajtos-huto/hausmeister-hm3108-hutoszekreny-p445487
Hausmeister HM3108 hűtőszekrény	35 990 Ft	Típus	egyajtós	edigital_refrigerator	https://edigital.hu/egyajtos-huto/hausmeister-hm3108-hutoszekreny-p445487
Hausmeister HM3108 hűtőszekrény	35 990 Ft	Energiaosztály	A+	edigital_refrigerator	https://edigital.hu/egyajtos-huto/hausmeister-hm3108-hutoszekreny-p445487
Hausmeister HM3108 hűtőszekrény	35 990 Ft	Energiafogyasztás (kWh)	113 kWh/év	edigital_refrigerator	https://edigital.hu/egyajtos-huto/hausmeister-hm3108-hutoszekreny-p445487
Hausmeister HM3108 hűtőszekrény	35 990 Ft	Egyéb jellemzők	Megfordítható ajtónyílás, Alacsony zajszint, Állítható lábak, Energiatakarékos üzemmód	edigital_refrigerator	https://edigital.hu/egyajtos-huto/hausmeister-hm3108-hutoszekreny-p445487
Hausmeister HM3108 hűtőszekrény	35 990 Ft	Szín	fehér	edigital_refrigerator	https://edigital.hu/egyajtos-huto/hausmeister-hm3108-hutoszekreny-p445487
Hausmeister HM3108 hűtőszekrény	35 990 Ft	Szélesség (cm)	47,2 cm	edigital_refrigerator	https://edigital.hu/egyajtos-huto/hausmeister-hm3108-hutoszekreny-p445487
Hausmeister HM3108 hűtőszekrény	35 990 Ft	Magasság (cm)	83,2 cm	edigital_refrigerator	https://edigital.hu/egyajtos-huto/hausmeister-hm3108-hutoszekreny-p445487
Hausmeister HM3108 hűtőszekrény	35 990 Ft	Mélység (cm)	45 cm	edigital_refrigerator	https://edigital.hu/egyajtos-huto/hausmeister-hm3108-hutoszekreny-p445487
Hausmeister HM3108 hűtőszekrény	35 990 Ft	Ajtók száma	1 db	edigital_refrigerator	https://edigital.hu/egyajtos-huto/hausmeister-hm3108-hutoszekreny-p445487
Hausmeister HM3108 hűtőszekrény	35 990 Ft	Hűtő űrtartalom	82 l	edigital_refrigerator	https://edigital.hu/egyajtos-huto/hausmeister-hm3108-hutoszekreny-p445487
Hausmeister HM3108 hűtőszekrény	35 990 Ft	Hűtő polc	2 db	edigital_refrigerator	https://edigital.hu/egyajtos-huto/hausmeister-hm3108-hutoszekreny-p445487
Hausmeister HM3108 hűtőszekrény	35 990 Ft	Ajtórekesz	4 db	edigital_refrigerator	https://edigital.hu/egyajtos-huto/hausmeister-hm3108-hutoszekreny-p445487
Hausmeister HM3108 hűtőszekrény	35 990 Ft	Zöldségtároló fiók	1 db	edigital_refrigerator	https://edigital.hu/egyajtos-huto/hausmeister-hm3108-hutoszekreny-p445487
Hausmeister HM3108 hűtőszekrény	35 990 Ft	Fagyasztó űrtartalom	9 l	edigital_refrigerator	https://edigital.hu/egyajtos-huto/hausmeister-hm3108-hutoszekreny-p445487
Hausmeister HM3108 hűtőszekrény	35 990 Ft	Fagyasztó polc	nincs	edigital_refrigerator	https://edigital.hu/egyajtos-huto/hausmeister-hm3108-hutoszekreny-p445487
Hausmeister HM3108 hűtőszekrény	35 990 Ft	Fagyasztó fiók	nincs	edigital_refrigerator	https://edigital.hu/egyajtos-huto/hausmeister-hm3108-hutoszekreny-p445487
Whirlpool W5 821E OX alulfagyasztós hűtőszekrény, inox, A++	99 990 Ft	Cikkszám	641091	edigital_refrigerator	https://edigital.hu/alulfagyasztos-huto/whirlpool-w5-821e-ox-alulfagyasztos-hutoszekreny-inox-p641091
Whirlpool W5 821E OX alulfagyasztós hűtőszekrény, inox, A++	99 990 Ft	Gyártó	WHIRLPOOL	edigital_refrigerator	https://edigital.hu/alulfagyasztos-huto/whirlpool-w5-821e-ox-alulfagyasztos-hutoszekreny-inox-p641091
Whirlpool W5 821E OX alulfagyasztós hűtőszekrény, inox, A++	99 990 Ft	Garancia	2 éves	edigital_refrigerator	https://edigital.hu/alulfagyasztos-huto/whirlpool-w5-821e-ox-alulfagyasztos-hutoszekreny-inox-p641091
Whirlpool W5 821E OX alulfagyasztós hűtőszekrény, inox, A++	99 990 Ft	Kivitel	Szabadon álló	edigital_refrigerator	https://edigital.hu/alulfagyasztos-huto/whirlpool-w5-821e-ox-alulfagyasztos-hutoszekreny-inox-p641091
Whirlpool W5 821E OX alulfagyasztós hűtőszekrény, inox, A++	99 990 Ft	Típus	alulfagyasztós	edigital_refrigerator	https://edigital.hu/alulfagyasztos-huto/whirlpool-w5-821e-ox-alulfagyasztos-hutoszekreny-inox-p641091
Whirlpool W5 821E OX alulfagyasztós hűtőszekrény, inox, A++	99 990 Ft	Energiaosztály	A++	edigital_refrigerator	https://edigital.hu/alulfagyasztos-huto/whirlpool-w5-821e-ox-alulfagyasztos-hutoszekreny-inox-p641091
Whirlpool W5 821E OX alulfagyasztós hűtőszekrény, inox, A++	99 990 Ft	Energiafogyasztás (kWh)	243 kWh/év	edigital_refrigerator	https://edigital.hu/alulfagyasztos-huto/whirlpool-w5-821e-ox-alulfagyasztos-hutoszekreny-inox-p641091
Whirlpool W5 821E OX alulfagyasztós hűtőszekrény, inox, A++	99 990 Ft	Egyéb jellemzők	Érintőgombos kivitel, 6. érzék technológia, Gyorshűtés funkció	edigital_refrigerator	https://edigital.hu/alulfagyasztos-huto/whirlpool-w5-821e-ox-alulfagyasztos-hutoszekreny-inox-p641091
Whirlpool W5 821E OX alulfagyasztós hűtőszekrény, inox, A++	99 990 Ft	Szín	inox	edigital_refrigerator	https://edigital.hu/alulfagyasztos-huto/whirlpool-w5-821e-ox-alulfagyasztos-hutoszekreny-inox-p641091
