item_links	website_category
/alulfagyasztos-huto/electrolux-en3885mox-kombinalt-hutoszekreny-no-frost-naturafresh-fiok-201-cm-p639039	edigital_refrigerator_links
/fagyasztoszekreny/zanussi-zfu27401wa-fagyasztoszekreny-245-l-5-fiok-2-rekesz-p306688	edigital_refrigerator_links
/alulfagyasztos-huto/beko-rcna-365-e32dzx-alulagyasztos-hutoszekreny-inox-ujracsomagolt-p630351	edigital_refrigerator_links
/alulfagyasztos-huto/samsung-rb37j501mb1ef-alulfagyasztos-hutoszekreny-fekete-ujracsomagolt-p682806	edigital_refrigerator_links
/fagyasztoszekreny/gorenje-f-6181-aw-fagyasztoszekreny-p254017	edigital_refrigerator_links
/alulfagyasztos-huto/snaige-rf34sm-s1ci21-alulfagyasztos-hutoszekreny-kek-p421157	edigital_refrigerator_links
/egyajtos-huto/candy-ctlp130-egyajtos-hutoszekreny-p651802	edigital_refrigerator_links
/side-side-huto/lg-gsj760wbxv-side-side-hutoszekreny-p508708	edigital_refrigerator_links
/alulfagyasztos-huto/snaige-rf34sm-s1ra21-alulfagyasztos-hutoszekreny-piros-p421155	edigital_refrigerator_links
/alulfagyasztos-huto/indesit-lr7-s2-x-alulfagyasztos-hutoszekreny-inox-p464068	edigital_refrigerator_links
/side-side-huto/gorenje-nrs9182mx-side-side-hutoszerkeny-inox-p637602	edigital_refrigerator_links
/borhuto/hyundai-vin32dz-borhuto-p294761	edigital_refrigerator_links
/fagyasztolada/gorenje-fh251iw-fagyasztolada-p689979	edigital_refrigerator_links
/alulfagyasztos-huto/bosch-kgn36nw30-alulfagyasztos-hutoszekreny-p420980	edigital_refrigerator_links
/alulfagyasztos-huto/whirlpool-w7-821o-ox-alulfagyasztos-hutoszekreny-inox-p641093	edigital_refrigerator_links
/alulfagyasztos-huto/beko-rcsa-270k20w-alulfagyasztos-hutoszekreny-p503871	edigital_refrigerator_links
/alulfagyasztos-huto/beko-rcsa-240k20w-alulfagyasztos-hutoszekreny-p503870	edigital_refrigerator_links
/felulfagyasztos-huto/lg-gtf916pzpzd-felulfagyasztos-hutoszekreny-p531464	edigital_refrigerator_links
/fagyasztoszekreny/zanussi-zfu23403wa-fagyasztoszekreny-194-l-4-fiok-2-rekesz-p419024	edigital_refrigerator_links
/alulfagyasztos-huto/whirlpool-wnf9-t2z-x-h-alulfagyasztos-hutoszekreny-total-no-frost-p510565	edigital_refrigerator_links
/alulfagyasztos-huto/gorenje-nrk6203tx4-alulfagyasztos-hutoszekreny-p574713	edigital_refrigerator_links
/felulfagyasztos-huto/lg-gtf744blpzd-felulfagyasztos-hutoszekreny-p683827	edigital_refrigerator_links
/fagyasztoszekreny/zanussi-zfu23404wa-fagyasztoszekreny-194-l-4-fiok-2-rekesz-p419026	edigital_refrigerator_links
/side-side-huto/samsung-rs67n8211s9ef-side-side-hutoszekreny-p580476	edigital_refrigerator_links
/side-side-huto/beko-gn-163120-s-side-side-hutoszekreny-neo-frost-p424774	edigital_refrigerator_links
/egyajtos-huto/gorenje-r6192lx-hutoszekreny-p450419	edigital_refrigerator_links
/alulfagyasztos-huto/lg-gbf72nsdzn-alulfagyasztos-hutoszerkeny-p664129	edigital_refrigerator_links
/felulfagyasztos-huto/snaige-fr275-1rr1aaa-c3ltj1a-felulfagyasztos-hutoszekreny-fekete-p651779	edigital_refrigerator_links
/alulfagyasztos-huto/gorenje-nrm9181ux-alulfagyasztos-hutoszekreny-p689975	edigital_refrigerator_links
/alulfagyasztos-huto/indesit-lr6-s2-w-alulfagyasztos-hutoszekreny-p468819	edigital_refrigerator_links
/side-side-huto/beko-gn163130zgb-side-side-hutoszekreny-p598347	edigital_refrigerator_links
/alulfagyasztos-huto/whirlpool-w7-821o-w-alulfagyasztos-hutoszekreny-no-frost-p652592	edigital_refrigerator_links
/alulfagyasztos-huto/whirlpool-w5-721e-ox-alulfagyasztos-hutoszekreny-ujracsomagolt-p691464	edigital_refrigerator_links
/fagyasztoszekreny/zanussi-zfu19400wa-fagyasztoszekreny-168-l-4-fiok-1-rekesz-p368926	edigital_refrigerator_links
/side-side-huto/samsung-rs50n3803saef-side-side-hutoszekreny-p685159	edigital_refrigerator_links
/egyajtos-huto/candy-cctos-504-wh-hutoszekreny-p372603	edigital_refrigerator_links
/alulfagyasztos-huto/samsung-rb33j3830saef-alulfagyasztos-hutoszekreny-p375591	edigital_refrigerator_links
/alulfagyasztos-huto/navon-278-alulfagyasztos-hutoszekreny-p627806	edigital_refrigerator_links
/alulfagyasztos-huto/beko-csa270m30w-alulfagyasztos-hutoszekreny-p544827	edigital_refrigerator_links
/side-side-huto/gorenje-nrs9182mb-side-side-hutoszekreny-fekete-p637603	edigital_refrigerator_links
/alulfagyasztos-huto/gorenje-nrm8181ux-alulfagyasztos-hutoszekreny-p689973	edigital_refrigerator_links
/alulfagyasztos-huto/whirlpool-w7-931t-w-alulfagyasztos-hutoszekreny-ujszeru-p713012	edigital_refrigerator_links
/fagyasztoszekreny/beko-rfsa-240-m23w-fagyasztoszekreny-fagyasztoszekreny-p424892	edigital_refrigerator_links
/alulfagyasztos-huto/gorenje-rk612pw4-alulfagyasztos-hutoszekreny-p574548	edigital_refrigerator_links
/fagyasztolada/zanussi-zfc21400wa-fagyasztolada-1-db-kosar-210-l-p364262	edigital_refrigerator_links
/alulfagyasztos-huto/indesit-li8-s1-w-alulfagyaszros-hutoszekreny-p414575	edigital_refrigerator_links
/fagyasztoszekreny/gorenje-fn6192px-fagyasztoszekreny-p418703	edigital_refrigerator_links
/fagyasztolada/gorenje-fh-401-w-fagyasztolada-p254025	edigital_refrigerator_links
/felulfagyasztos-huto/hotpoint-ariston-entm-182a0-vw-felulfagyasztos-hutoszekreny-p381667	edigital_refrigerator_links
/fagyasztoszekreny/beko-fs166020-fagyasztoszekreny-p430510	edigital_refrigerator_links
/alulfagyasztos-huto/beko-rcsa-365k20-ds-alulfagyasztos-hutoszekreny-p505073	edigital_refrigerator_links
/beepitheto-huto/aeg-sce81826ts-beepitheto-kombinalt-hutoszekreny-nofrost-178-cm-p563081	edigital_refrigerator_links
/borhuto/guzzanti-gz-16-borhuto-p564301	edigital_refrigerator_links
/alulfagyasztos-huto/zanussi-zrb36101xa-kombinalt-hutoszekreny-185-cm-p379925	edigital_refrigerator_links
/alulfagyasztos-huto/bosch-kgv36vl32s-alulfagyasztos-hutoszekreny-p477233	edigital_refrigerator_links
/alulfagyasztos-huto/indesit-lr8-s2-x-b-alulfagyasztos-hutoszekreny-p482647	edigital_refrigerator_links
/egyajtos-huto/gorenje-rb4091anw-egyajtos-hutoszekreny-p521975	edigital_refrigerator_links
/side-side-huto/beko-gn-163130-x-side-side-hutoszekreny-neo-frost-p561392	edigital_refrigerator_links
/felulfagyasztos-huto/lg-gtb362pzczd-felulfagyasztos-hutoszekreny-p578815	edigital_refrigerator_links
/alulfagyasztos-huto/bosch-kgn36nl3a-alulfagyaszatos-hutoszekreny-inoxlook-no-frost-p499941	edigital_refrigerator_links
/alulfagyasztos-huto/candy-cmfm-5144-w-alulfagyasztos-hutoszekreny-p576218	edigital_refrigerator_links
/fagyasztoszekreny/beko-rfsa210k20w-fagyasztoszekreny-p599092	edigital_refrigerator_links
/alulfagyasztos-huto/gorenje-rk612syb4-alulfagyasztos-hutoszekreny-fekete-p652736	edigital_refrigerator_links
/fagyasztoszekreny/zanussi-zfu27400wa-fagyasztoszekreny-245-l-5-fiok-2-rekesz-p297847	edigital_refrigerator_links
/beepitheto-huto/electrolux-enn2812aow-beepitheto-kombinalt-hutoszekreny-178-cm-p489428	edigital_refrigerator_links
/alulfagyasztos-huto/bosch-kgn49ai31-alufagyasztos-hutoszekreny-p523733	edigital_refrigerator_links
/fagyasztoszekreny/aeg-age62221aw-fagyasztoszekreny-194-l-5-fiok-1-rekesz-p557501	edigital_refrigerator_links
/side-side-huto/beko-gn-1416221-xp-side-side-hutoszekreny-p561394	edigital_refrigerator_links
/alulfagyasztos-huto/gorenje-nrk6192tx4-alulfagyasztos-hutoszekreny-p574558	edigital_refrigerator_links
/egyajtos-huto/zanussi-zra40100wa-hutoszekreny-185-cm-p306685	edigital_refrigerator_links
/egyajtos-huto/zanussi-zra22800wa-hutoszekreny-125-cm-p372453	edigital_refrigerator_links
/beepitheto-huto/bosch-kiv34x20-beepitheto-hutoszekreny-p67882	edigital_refrigerator_links
/alulfagyasztos-huto/zanussi-zrb36104xa-kombinalt-hutoszekreny-185-cm-p367906	edigital_refrigerator_links
/egyajtos-huto/electrolux-ert1501fow3-hutoszekreny-85-cm-p384690	edigital_refrigerator_links
/felulfagyasztos-huto/lg-gtb382shczd-felulfagyasztos-hutoszekreny-p579795	edigital_refrigerator_links
/alulfagyasztos-huto/beko-csa300m20x-alulfagyasztos-hutoszekreny-p599094	edigital_refrigerator_links
/alulfagyasztos-huto/whirlpool-w5-721e-w-alulfagyasztos-hutoszekreny-p649534	edigital_refrigerator_links
/hordozhato-hutobox/sencor-scm-4800bl-autos-hutolada-p305598	edigital_refrigerator_links
/alulfagyasztos-huto/gorenje-rk611ps4-alulfagyasztos-hutoszekreny-p574547	edigital_refrigerator_links
/alulfagyasztos-huto/navon-289-x-alulfagyasztos-no-frost-hutoszekreny-inox-p627812	edigital_refrigerator_links
/fagyasztoszekreny/hyundai-fsb050ww8-fagyaszto-szekreny-p292022	edigital_refrigerator_links
/fagyasztoszekreny/beko-fs-129920-fagyasztoszekreny-p397875	edigital_refrigerator_links
/alulfagyasztos-huto/electrolux-en3601mox-kombinalt-hutoszekreny-185-cm-p412600	edigital_refrigerator_links
/alulfagyasztos-huto/gorenje-rk611pw4-alulfagyasztos-hutoszekreny-p574546	edigital_refrigerator_links
/alulfagyasztos-huto/snaige-rf35sm-p10022-alulfagyasztos-hutoszekreny-p589347	edigital_refrigerator_links
/side-side-huto/haier-hrf-521dm6-side-side-no-frost-hutoszekreny-p599150	edigital_refrigerator_links
/egyajtos-huto/bosch-ksv36vi3p-egyajtos-hutoszekreny-p626747	edigital_refrigerator_links
/side-side-huto/candy-cfdn-180-eu-side-side-hutoszekreny-inox-p642454	edigital_refrigerator_links
/alulfagyasztos-huto/whirlpool-w5-721e-ox-alulfagyasztos-hutoszekreny-p649531	edigital_refrigerator_links
/alulfagyasztos-huto/gorenje-rk6193lx4-alufagyasztos-hutoszekreny-p574553	edigital_refrigerator_links
/felulfagyasztos-huto/lg-lggtb574sehzd-felulfagyasztos-hutoszekreny-p612736	edigital_refrigerator_links
/felulfagyasztos-huto/electrolux-ej2302aow2-kombinalt-hutoszekreny-140-cm-p362118	edigital_refrigerator_links
/egyajtos-huto/whirlpool-sw8-1q-w-hutoszekreny-p423741	edigital_refrigerator_links
/egyajtos-huto/crown-cm49b-hutoszekreny-minibar-p503508	edigital_refrigerator_links
/felulfagyasztos-huto/beko-rdsa-240k20w-felulfagyasztos-hutoszekreny-p503861	edigital_refrigerator_links
/alulfagyasztos-huto/beko-rcsa-330k31-pt-alulfagyasztos-hutoszekreny-inox-p505075	edigital_refrigerator_links
/alulfagyasztos-huto/bosch-kge49kl4p-alulfagyasztos-hutoszekreny-p585604	edigital_refrigerator_links
/alulfagyasztos-huto/lg-gbb72swefn-alulfagyasztos-hutoszekreny-p664128	edigital_refrigerator_links
/alulfagyasztos-huto/lg-gbb92staqp-alulfagyasztos-hutoszekreny-p683927	edigital_refrigerator_links
/egyajtos-huto/beko-ts-190020-egyajtos-hutoszekreny-p506353	edigital_refrigerator_links
/felulfagyasztos-huto/lg-gtb574pzhzd-felulfagyasztos-hutoszekreny-p533247	edigital_refrigerator_links
