item_name_short	item_name	producer	type	energy_class	energy_consumption	guarantee_month	colour	width_cm	height_cm	depth_cm	weight_kg	n_doors	cooling_capacity_l	freezing_capacity_l	item_price_edigital	website_category_edigital	link_edigital	articleID_edigital	item_price_mediamarkt	website_category_mediamarkt	link_mediamarkt	articleID_mediamarkt
AEG RKE64021DW	AEG RKE64021DW hűtőszekrény	AEG	Refrigerator	A++	116 kWh	24	white	60 cm	185 cm	67 cm	NA	1	392 l	NA	NA	NA	NA	NA	132796	mediamarkt_refrigerator	https://www.mediamarkt.hu/hu/product/_aeg-rke64021dw-h%C5%B1t%C5%91szekr%C3%A9ny-1255785.html	1255785
AEG RKE64021DX	AEG RKE64021DX hűtőszekrény	AEG	Refrigerator	A++	116 kWh	24	grey	60 cm	185 cm	67 cm	NA	1	387 l	NA	NA	NA	NA	NA	144699	mediamarkt_refrigerator	https://www.mediamarkt.hu/hu/product/_aeg-rke64021dx-h%C5%B1t%C5%91szekr%C3%A9ny-1255786.html	1255786
AEG RKE73924MX	AEG RKE73924MX hűtőszekrény	AEG	Refrigerator	A++	113 kWh	24	grey	60 cm	185 cm	64 cm	72 kg	1	358 l	NA	NA	NA	NA	NA	184799	mediamarkt_refrigerator	https://www.mediamarkt.hu/hu/product/_aeg-rke73924mx-h%C5%B1t%C5%91szekr%C3%A9ny-1255787.html	1255787
AEG RMB66111NX	AEG RMB66111NX No Frost side by side hűtőszekrény	AEG	Refrigerator	A+	NA	24	grey	91 cm	178 cm	74 cm	109 kg	5	359 l	179 l	NA	NA	NA	NA	439799	mediamarkt_refrigerator	https://www.mediamarkt.hu/hu/product/_aeg-rmb66111nx-no-frost-side-by-side-h%C5%B1t%C5%91szekr%C3%A9ny-1290223.html	1290223
AEG RMB66111NX	AEG RMB66111NX Side by Side Hűtőszekrény, NoFrost, 178 cm, A+	AEG	Refrigerator	A+	447 kWh/év	24	grey	91,2	178	73,8	109 kg (nettó)	2 db	359 l	179 l	438 900 Ft	edigital_refrigerator	https://edigital.hu/side-side-huto/aeg-rmb66111nx-side-side-hutoszekreny-nofrost-178-cm-p680558	680558	NA	NA	NA	NA
AEG S93930CMXF	AEG S93930CMXF No Frost kombiánlt hűtőszekrény	AEG	Refrigerator	A+++	165 kWh	24	grey	60 cm	200 cm	65 cm	85.9 kg	NA	250 l	91 l	NA	NA	NA	NA	309999	mediamarkt_refrigerator	https://www.mediamarkt.hu/hu/product/_aeg-s93930cmxf-no-frost-kombi%C3%A1nlt-h%C5%B1t%C5%91szekr%C3%A9ny-1195343.html	1195343
AEG SCE81811LC	AEG SCE81811LC Beépíthető kombinált hűtőszekrény, 178 cm, A+	AEG	Refrigerator	A+	289	12	white	55,6	176,9	54,9	60	2 db	186 l	72 l	194 990 Ft	edigital_refrigerator	https://edigital.hu/beepitheto-huto/aeg-sce81811lc-beepitheto-kombinalt-hutoszekreny-178-cm-p539346	539346	NA	NA	NA	NA
AEG SCE81816TS	AEG SCE81816TS Beépíthető kombinált hűtőszekrény, NoFrost, 178 cm, A+	AEG	Refrigerator	A+	297 kWh/év	24	NA	56	177	55	58	2 db	192 l	61 l	174 990 Ft	edigital_refrigerator	https://edigital.hu/beepitheto-huto/aeg-sce81816ts-beepitheto-kombinalt-hutoszekreny-nofrost-178-cm-p510429	510429	NA	NA	NA	NA
AEG SCE81821LC	AEG SCE81821LC Beépíthető kombinált hűtőszekrény, 178 cm, A++	AEG	Refrigerator	A++	225	12	NA	55,6	176,9	54,9	60	2 db	186 l	72 l	219 990 Ft	edigital_refrigerator	https://edigital.hu/beepitheto-huto/aeg-sce81821lc-beepitheto-kombinalt-hutoszekreny-178-cm-p539350	539350	NA	NA	NA	NA
AEG SCE81826TS	AEG SCE81826TS Beépíthető kombinált hűtőszekrény, NoFrost, 178 cm, A++	AEG	Refrigerator	A++	228 /év	24	white	54	177,2	54,9	58	2 db	192 l	61 l	199 990 Ft	edigital_refrigerator	https://edigital.hu/beepitheto-huto/aeg-sce81826ts-beepitheto-kombinalt-hutoszekreny-nofrost-178-cm-p563081	563081	NA	NA	NA	NA
AEG SCE81926TS	AEG SCE81926TS CustomFlex beépíthető kombinált hűtőszekrény, NoFrost, 188 cm, A++	AEG	Refrigerator	A++	233 kWh/év	24	NA	54	188,4	54,9	70	2 db	207 l	60 l	249 990 Ft	edigital_refrigerator	https://edigital.hu/beepitheto-huto/aeg-sce81926ts-customflex-beepitheto-kombinalt-hutoszekreny-nofrost-188-cm-p563063	563063	NA	NA	NA	NA
AMICA FC100.4	AMICA FC100.4 hűtőszekrény	AMICA	Refrigerator	A+	106 kWh	24	white	45 cm	85 cm	41 cm	18 kg	1	61 l	NA	NA	NA	NA	NA	46899	mediamarkt_refrigerator	https://www.mediamarkt.hu/hu/product/_amica-fc100-4-h%C5%B1t%C5%91szekr%C3%A9ny-1284473.html	1284473
AMICA FC1224.4	AMICA FC1224.4 hűtőszekrény	AMICA	Refrigerator	A+	110 kWh	24	white	48 cm	85 cm	45 cm	20 kg	1	83 l	NA	NA	NA	NA	NA	49999	mediamarkt_refrigerator	https://www.mediamarkt.hu/hu/product/_amica-fc1224-4-h%C5%B1t%C5%91szekr%C3%A9ny-1280134.html	1280134
AMICA FD2015.4	AMICA FD2015.4 felülfagyasztós kombinált hűtőszekrény	AMICA	Refrigerator	A+	204 kWh	24	white	54 cm	122 cm	57 cm	NA	2	126 l	42 l	NA	NA	NA	NA	80999	mediamarkt_refrigerator	https://www.mediamarkt.hu/hu/product/_amica-fd2015-4-fel%C3%BClfagyaszt%C3%B3s-kombin%C3%A1lt-h%C5%B1t%C5%91szekr%C3%A9ny-1283900.html	1283900
AMICA FD2015.4X	AMICA FD2015.4X felülfagyasztós kombinált hűtőszekrény	AMICA	NA	A+	204 kWh	24	grey	54 cm	122 cm	57 cm	NA	2	126 l	42 l	NA	NA	NA	NA	85999	mediamarkt_refrigerator	https://www.mediamarkt.hu/hu/product/_amica-fd2015-4x-fel%C3%BClfagyaszt%C3%B3s-kombin%C3%A1lt-h%C5%B1t%C5%91szekr%C3%A9ny-1291589.html	1291589
AMICA FD4328.3DFX	AMICA FD4328.3DFX felülfagyasztós kombinált hűtőszekrény	AMICA	NA	A+	389 kWh	24	grey	79 cm	175.6 cm	73.5 cm	87 kg	NA	374 l	116 l	NA	NA	NA	NA	224899	mediamarkt_refrigerator	https://www.mediamarkt.hu/hu/product/_amica-fd4328-3dfx-fel%C3%BClfagyaszt%C3%B3s-kombin%C3%A1lt-h%C5%B1t%C5%91szekr%C3%A9ny-1268423.html	1268423
AMICA FK2965.3LAA	AMICA FK2965.3LAA kombinált hűtőszekrény	AMICA	Refrigerator	A++	188 kWh	24	blue	55 cm	181 cm	62 cm	NA	2	181 l	63 l	NA	NA	NA	NA	143896	mediamarkt_refrigerator	https://www.mediamarkt.hu/hu/product/_amica-fk2965-3laa-kombin%C3%A1lt-h%C5%B1t%C5%91szekr%C3%A9ny-1280140.html	1280140
AMICA FK3857.4DFX	AMICA FK3857.4DFX No Frost kombinált hűtőszekrény	AMICA	NA	A+	337 kWh	24	grey	68 cm	175.6 cm	73.5 cm	86 kg	NA	288 l	97 l	NA	NA	NA	NA	208999	mediamarkt_refrigerator	https://www.mediamarkt.hu/hu/product/_amica-fk3857-4dfx-no-frost-kombin%C3%A1lt-h%C5%B1t%C5%91szekr%C3%A9ny-1268424.html	1268424
AMICA FM050.4	AMICA FM050.4 hűtőszekrény	AMICA	Refrigerator	A+	106 kWh	24	white	47 cm	50 cm	45 cm	15 kg	1	41 l	5 l	NA	NA	NA	NA	37899	mediamarkt_refrigerator	https://www.mediamarkt.hu/hu/product/_amica-fm050-4-h%C5%B1t%C5%91szekr%C3%A9ny-1240432.html	1240432
AMICA FM133.3AA	AMICA FM133.3AA hűtőszekrény	AMICA	Refrigerator	A++	131 kWh	24	white	55 cm	85 cm	62 cm	NA	1	93 l	13 l	NA	NA	NA	NA	68999	mediamarkt_refrigerator	https://www.mediamarkt.hu/hu/product/_amica-fm133-3aa-h%C5%B1t%C5%91szekr%C3%A9ny-1280136.html	1280136
AMICA FM136.3AAA	AMICA FM136.3AAA hűtőszekrény	AMICA	NA	A+++	89 kWh	24	white	54.6 cm	84.5 cm	57.1 cm	NA	NA	97 l	12 l	NA	NA	NA	NA	71999	mediamarkt_refrigerator	https://www.mediamarkt.hu/hu/product/_amica-fm136-3aaa-h%C5%B1t%C5%91szekr%C3%A9ny-1268419.html	1268419
AMICA FS101.3	AMICA FS101.3 fagyasztóláda	AMICA	Freezer	A+	168 kWh	24	white	54 cm	84 cm	56 cm	23 kg	NA	NA	95 l	NA	NA	NA	NA	60999	mediamarkt_refrigerator	https://www.mediamarkt.hu/hu/product/_amica-fs101-3-fagyaszt%C3%B3l%C3%A1da-1284474.html	1284474
AMICA KGC 15631	AMICA KGC 15631 R felülfagyasztós kombinált hűtőszekrény	AMICA	Refrigerator	A++	172 kWh	24	claret	55 cm	144 cm	62 cm	43.5 kg	2	164 l	44 l	NA	NA	NA	NA	116896	mediamarkt_refrigerator	https://www.mediamarkt.hu/hu/product/_amica-kgc-15631-r-fel%C3%BClfagyaszt%C3%B3s-kombin%C3%A1lt-h%C5%B1t%C5%91szekr%C3%A9ny-1249100.html	1249100
AMICA KGC 15632T	AMICA KGC 15632T felülfagyasztós kombinált hűtőszekrény	AMICA	NA	A++	172 kWh	24	blue	55 cm	144 cm	62 cm	NA	2	168 l	45 l	NA	NA	NA	NA	123899	mediamarkt_refrigerator	https://www.mediamarkt.hu/hu/product/_amica-kgc-15632t-fel%C3%BClfagyaszt%C3%B3s-kombin%C3%A1lt-h%C5%B1t%C5%91szekr%C3%A9ny-1277432.html	1277432
AMICA KGC 15634	AMICA KGC 15634 S felülfagyasztós kombinált hűtőszekrény	AMICA	NA	A++	172 kWh	24	black	55 cm	144 cm	61.5 cm	41 kg	2	168 l	45 l	NA	NA	NA	NA	116896	mediamarkt_refrigerator	https://www.mediamarkt.hu/hu/product/_amica-kgc-15634-s-fel%C3%BClfagyaszt%C3%B3s-kombin%C3%A1lt-h%C5%B1t%C5%91szekr%C3%A9ny-1269627.html	1269627
AMICA KGC 15635B	AMICA KGC 15635B felülfagyasztós kombinált hűtőszekrény	AMICA	NA	A++	172 kWh	24	beige	55 cm	144 cm	61 cm	41 kg	NA	168 l	45 l	NA	NA	NA	NA	121999	mediamarkt_refrigerator	https://www.mediamarkt.hu/hu/product/_amica-kgc-15635b-fel%C3%BClfagyaszt%C3%B3s-kombin%C3%A1lt-h%C5%B1t%C5%91szekr%C3%A9ny-1268418.html	1268418
AMICA KGC 15686	AMICA KGC 15686 W felülfagyasztós kombinált hűtőszekrény	AMICA	Refrigerator	A+	222 kWh	24	white	55 cm	140 cm	57 cm	45 kg	2	164 l	44 l	NA	NA	NA	NA	72999	mediamarkt_refrigerator	https://www.mediamarkt.hu/hu/product/_amica-kgc-15686-w-fel%C3%BClfagyaszt%C3%B3s-kombin%C3%A1lt-h%C5%B1t%C5%91szekr%C3%A9ny-1219834.html	1219834
AMICA KGC15636P	AMICA KGC15636P felülfagyasztós kombinált hűtőszekrény	AMICA	NA	A++	172 kWh	24	pink	55 cm	144 cm	62 cm	NA	2	168 l	44 l	NA	NA	NA	NA	119899	mediamarkt_refrigerator	https://www.mediamarkt.hu/hu/product/_amica-kgc15636p-fel%C3%BClfagyaszt%C3%B3s-kombin%C3%A1lt-h%C5%B1t%C5%91szekr%C3%A9ny-1291590.html	1291590
AMICA KS 15610	AMICA KS 15610 R hűtőszekrény	AMICA	Refrigerator	A++	133 kWh	24	red	55 cm	86 cm	62 cm	28.5 kg	1	93 l	13 l	NA	NA	NA	NA	74899	mediamarkt_refrigerator	https://www.mediamarkt.hu/hu/product/_amica-ks-15610-r-h%C5%B1t%C5%91szekr%C3%A9ny-1235781.html	1235781
AMICA KS 15612	AMICA KS 15612 T hűtőszekrény	AMICA	Refrigerator	A++	133 kWh	24	blue	55 cm	86 cm	62 cm	28.5 kg	1	93 l	13 l	NA	NA	NA	NA	74899	mediamarkt_refrigerator	https://www.mediamarkt.hu/hu/product/_amica-ks-15612-t-h%C5%B1t%C5%91szekr%C3%A9ny-1235783.html	1235783
AMICA KS 15615	AMICA KS 15615 B hűtőszekrény	AMICA	Refrigerator	A++	133 kWh	24	beige	55 cm	86 cm	62 cm	28.5 kg	1	93 l	13 l	NA	NA	NA	NA	74899	mediamarkt_refrigerator	https://www.mediamarkt.hu/hu/product/_amica-ks-15615-b-h%C5%B1t%C5%91szekr%C3%A9ny-1235785.html	1235785
AMICA KS 15616	AMICA KS 15616 P hűtőszekrény	AMICA	Refrigerator	A++	133 kWh	24	pink	55 cm	86 cm	62 cm	28.5 kg	1	93 l	13 l	NA	NA	NA	NA	74899	mediamarkt_refrigerator	https://www.mediamarkt.hu/hu/product/_amica-ks-15616-p-h%C5%B1t%C5%91szekr%C3%A9ny-1235786.html	1235786
Amica 1171143 BK3165.2F	Amica 1171143 BK3165.2F beépíthető alulfagyasztós hűtőszekrény, A+	AMICA	Refrigerator	A+	268 kWh/év	24	white	54	177,6	54	NA	2 db	182 l	56 l	144 990 Ft	edigital_refrigerator	https://edigital.hu/beepitheto-huto/amica-1171143-bk31652f-beepitheto-alulfagyasztos-hutoszekreny-p667146	667146	NA	NA	NA	NA
Amica 1171144 BK3165.4AA	Amica 1171144 BK3165.4AA beépíthető alulfagyasztós hűtőszekrény, A++	AMICA	Refrigerator	A++	204 kWh/év	24	white	54	177,6	54	NA	2 db	182 l	60 l	139 990 Ft	edigital_refrigerator	https://edigital.hu/beepitheto-huto/amica-1171144-bk31654aa-beepitheto-alulfagyasztos-hutoszekreny-p667147	667147	NA	NA	NA	NA
Amica 1171146 BK2665.4	Amica 1171146 BK2665.4 alulfagyasztós hűtőszekrény, A+	AMICA	Refrigerator	A+	252 kWh/év	24	white	54 cm	157 cm	54 cm	NA	2 db	148 l	60 l	99 990 Ft	edigital_refrigerator	https://edigital.hu/alulfagyasztos-huto/amica-1171146-bk26654-alulfagyasztos-hutoszekreny-p691630	691630	NA	NA	NA	NA
Amica 1171254 BK3185.4NFVCAA	Amica 1171254 BK3185.4NFVCAA alulfagyasztós hűtőszekrény	AMICA	Refrigerator	A++	223 kWh/év	24	white	54 cm	177,6 cm	54 cm	NA	2 db	190 l	56 l	184 990 Ft	edigital_refrigerator	https://edigital.hu/alulfagyasztos-huto/amica-1171254-bk31854nfvcaa-alulfagyasztos-hutoszekreny-p691631	691631	NA	NA	NA	NA
Amica 1171256 BK3185.4DFCAA	Amica 1171256 BK3185.4DFCAA beépíthető alulfagyasztós hűtőszekrény	AMICA	Refrigerator	A++	223 kWh/év	24	white	54	176,6	54	NA	2 db	190 l	56 l	209 990 Ft	edigital_refrigerator	https://edigital.hu/beepitheto-huto/amica-1171256-bk31854dfcaa-beepitheto-alulfagyasztos-hutoszekreny-p667149	667149	NA	NA	NA	NA
Amica 1171455 BK3195.4DFVCAA	Amica 1171455 BK3195.4DFVCAA beépíthető alulfagyasztós hűtőszekrény, A++	AMICA	Refrigerator	A++	223 kWh/év	24	white	54 cm	177,6 cm	54 cm	NA	2 db	190 l	56 l	209 990 Ft	edigital_refrigerator	https://edigital.hu/alulfagyasztos-huto/amica-1171455-bk31954dfvcaa-beepitheto-alulfagyasztos-hutoszekreny-p691632	691632	NA	NA	NA	NA
Amica 1171456 BK3195.4NFVC	Amica 1171456 BK3195.4NFVC beépíthető alulfagyasztós hűtőszekrény	AMICA	Refrigerator	A+	284 kWh	24	white	54 cm	177,6 cm	54 cm	NA	2 db	190 l	56 l	169 990 Ft	edigital_refrigerator	https://edigital.hu/alulfagyasztos-huto/amica-1171456-bk31954nfvc-beepitheto-alulfagyasztos-hutoszekreny-p691633	691633	NA	NA	NA	NA
Amica 1179024 WCF1K15B7	Amica 1179024 WCF1K15B7 borhűtő	AMICA	Wine refrigerator	B	185 kWh/év	24	black	14,8	82	57	18 kg	1 db	7 palackos	NA	99 990 Ft	edigital_refrigerator	https://edigital.hu/borhuto/amica-1179024-wcf1k15b7-borhuto-p691623	691623	NA	NA	NA	NA
Amica 1179055 WCB2K60B36.1	Amica 1179055 WCB2K60B36.1 borhűtő	AMICA	Wine refrigerator	A	140 kWh	24	black	59 cm	59,5 cm	50,6 cm	32 kg	1 db	75 l	nincs fagyasztó rész	279 990 Ft	edigital_refrigerator	https://edigital.hu/borhuto/amica-1179055-wcb2k60b361-borhuto-p691624	691624	NA	NA	NA	NA
Amica BK316.3AA	Amica BK316.3AA beépíthető hűtőszekrény, fehér	AMICA	Refrigerator	A++	204 kWh	24	NA	54 cm	177,6 cm	54 cm	40 kg	2 db	190 l	70 l	119 090 Ft	edigital_refrigerator	https://edigital.hu/beepitheto-huto/amica-bk3163aa-beepitheto-hutoszekreny-feher-p464383	464383	NA	NA	NA	NA
Amica BK316.3FA	Amica BK316.3FA alulfagyasztós hűtőszekrény - [Újracsomagolt]	AMICA	Refrigerator	A+	270 kWh / év	NA	white	54	177,6	54	63	2 db	190 l	56 l	103 990 Ft	edigital_refrigerator	https://edigital.hu/alulfagyasztos-huto/amica-bk3163fa-alulfagyasztos-hutoszekreny-ujracsomagolt-p635186	635186	NA	NA	NA	NA
Amica BK316A	Amica BK316A beépíthető hűtőszekrény	AMICA	Refrigerator	A+	204	24	white	54	177,6	54	40	2 db	190 l	70 l	129 990 Ft	edigital_refrigerator	https://edigital.hu/beepitheto-huto/amica-bk316a-beepitheto-hutoszekreny-p485595	485595	NA	NA	NA	NA
Amica BM132.3	Amica BM132.3 beépíthető hűtőszekrény, A+	AMICA	Refrigerator	A+	186 kWh/év	24	NA	54	87,5	54	35	1 db	98 l	16 l	69 990 Ft	edigital_refrigerator	https://edigital.hu/beepitheto-huto/amica-bm1323-beepitheto-hutoszekreny-p587636	587636	NA	NA	NA	NA
Amica EKGC 16166	Amica EKGC 16166 beépíthető hűtőszekrény, A+	AMICA	Refrigerator	A+	239	24	NA	54 cm	144 cm	54 cm	55 kg	2 db	182 l	40 l	79 990 Ft	edigital_refrigerator	https://edigital.hu/beepitheto-huto/amica-ekgc-16166-beepitheto-hutoszekreny-p508181	508181	NA	NA	NA	NA
AMICA FC100.4	Amica FC100.4 egyajtós hűtőszekrény, A+	AMICA	Refrigerator	A+	NA	24	white	45	84,5	40,5	NA	1 db	83 l	NA	46 990 Ft	edigital_refrigerator	https://edigital.hu/egyajtos-huto/amica-fc1004-egyajtos-hutoszekreny-p588351	588351	NA	NA	NA	NA
Amica FC3616.3DFX	Amica FC3616.3DFX egyajtós hűtőszekrény, A+, No Frost	AMICA	Refrigerator	A+	NA	24	grey	59,5	185,5	66,2	NA	1 db	360 l	nincs fagyasztó rész	179 990 Ft	edigital_refrigerator	https://edigital.hu/egyajtos-huto/amica-fc36163dfx-egyajtos-hutoszekreny-no-frost-p563470	563470	NA	NA	NA	NA
AMICA FK2965.3LAA	Amica FK2965.3LAA kombinált hűtőszekrény, A++	AMICA	Refrigerator	A++	188	24	blue	55	181	61,5	NA	2 db	244 l	63 l	151 990 Ft	edigital_refrigerator	https://edigital.hu/alulfagyasztos-huto/amica-fk29653laa-kombinalt-hutoszekreny-p617836	617836	NA	NA	NA	NA
Amica FK2965.3RAA	Amica FK2965.3RAA kombinált hűtőszekrény, A++	AMICA	Refrigerator	A++	188 / év	24	red	55	181	61,5	NA	2 db	244 l	63 l	151 990 Ft	edigital_refrigerator	https://edigital.hu/alulfagyasztos-huto/amica-fk29653raa-kombinalt-hutoszekreny-p617838	617838	NA	NA	NA	NA
