"common_item_id"|"common_item_name"|"item_name_short"|"colour"|"producer"|"type"|"energy_class"|"energy_consumption"|"guarantee_month"|"width_cm"|"height_cm"|"depth_cm"|"weight_kg"|"n_doors"|"cooling_capacity_l"|"freezing_capacity_l"|"total_capacity"|"website"|"item_price"|"link"
14|"AEG RKE63221DX grey"|"AEG RKE63221DX"|"grey"|"AEG"|"Refrigerator"|"A++"|109|24|60|155|67|56|1|314|0|314|"mediamarkt"|124793|"https://www.mediamarkt.hu/hu/product/_aeg-rke63221dx-h%C5%B1t%C5%91szekr%C3%A9ny-1255784.html"
15|"AEG RKE64021DW white"|"AEG RKE64021DW"|"white"|"AEG"|"Refrigerator"|"A++"|116|24|60|185|67|NA|1|392|NA|392|"mediamarkt"|132796|"https://www.mediamarkt.hu/hu/product/_aeg-rke64021dw-h%C5%B1t%C5%91szekr%C3%A9ny-1255785.html"
16|"AEG RKE64021DX grey"|"AEG RKE64021DX"|"grey"|"AEG"|"Refrigerator"|"A++"|116|24|60|185|67|NA|1|387|NA|387|"mediamarkt"|144699|"https://www.mediamarkt.hu/hu/product/_aeg-rke64021dx-h%C5%B1t%C5%91szekr%C3%A9ny-1255786.html"
17|"AEG RKE73924MX grey"|"AEG RKE73924MX"|"grey"|"AEG"|"Refrigerator"|"A++"|113|24|60|185|64|72|1|358|NA|358|"mediamarkt"|184799|"https://www.mediamarkt.hu/hu/product/_aeg-rke73924mx-h%C5%B1t%C5%91szekr%C3%A9ny-1255787.html"
18|"AEG RMB66111NX grey"|"AEG RMB66111NX"|"grey"|"AEG"|"Refrigerator"|"A+"|447|24|91|178|74|109|5|359|179|538|"mediamarkt"|439799|"https://www.mediamarkt.hu/hu/product/_aeg-rmb66111nx-no-frost-side-by-side-h%C5%B1t%C5%91szekr%C3%A9ny-1290223.html"
18|"AEG RMB66111NX grey"|"AEG RMB66111NX"|"grey"|"AEG"|"Refrigerator"|"A+"|447|24|91|178|74|109|5|359|179|538|"edigital"|438900|"https://edigital.hu/side-side-huto/aeg-rmb66111nx-side-side-hutoszekreny-nofrost-178-cm-p680558"
19|"AEG S93930CMXF grey"|"AEG S93930CMXF"|"grey"|"AEG"|"Refrigerator"|"A+++"|165|24|60|200|65|86|NA|250|91|341|"mediamarkt"|309999|"https://www.mediamarkt.hu/hu/product/_aeg-s93930cmxf-no-frost-kombi%C3%A1nlt-h%C5%B1t%C5%91szekr%C3%A9ny-1195343.html"
20|"AEG SCE81811LC white"|"AEG SCE81811LC"|"white"|"AEG"|"Refrigerator"|"A+"|289|12|56|177|55|60|2|186|72|258|"edigital"|194990|"https://edigital.hu/beepitheto-huto/aeg-sce81811lc-beepitheto-kombinalt-hutoszekreny-178-cm-p539346"
21|"AEG SCE81816TS NA"|"AEG SCE81816TS"|NA|"AEG"|"Refrigerator"|"A+"|297|24|56|177|55|58|2|192|61|253|"edigital"|174990|"https://edigital.hu/beepitheto-huto/aeg-sce81816ts-beepitheto-kombinalt-hutoszekreny-nofrost-178-cm-p510429"
22|"AEG SCE81821LC NA"|"AEG SCE81821LC"|NA|"AEG"|"Refrigerator"|"A++"|225|12|56|177|55|60|2|186|72|258|"edigital"|219990|"https://edigital.hu/beepitheto-huto/aeg-sce81821lc-beepitheto-kombinalt-hutoszekreny-178-cm-p539350"
23|"AEG SCE81826TS white"|"AEG SCE81826TS"|"white"|"AEG"|"Refrigerator"|"A++"|228|24|54|177|55|58|2|192|61|253|"edigital"|199990|"https://edigital.hu/beepitheto-huto/aeg-sce81826ts-beepitheto-kombinalt-hutoszekreny-nofrost-178-cm-p563081"
24|"AEG SCE81926TS NA"|"AEG SCE81926TS"|NA|"AEG"|"Refrigerator"|"A++"|233|24|54|188|55|70|2|207|60|267|"edigital"|249990|"https://edigital.hu/beepitheto-huto/aeg-sce81926ts-customflex-beepitheto-kombinalt-hutoszekreny-nofrost-188-cm-p563063"
25|"AMICA FC100.4 white"|"AMICA FC100.4"|"white"|"AMICA"|"Refrigerator"|"A+"|106|24|45|85|41|18|1|83|NA|83|"mediamarkt"|46899|"https://www.mediamarkt.hu/hu/product/_amica-fc100-4-h%C5%B1t%C5%91szekr%C3%A9ny-1284473.html"
25|"AMICA FC100.4 white"|"AMICA FC100.4"|"white"|"AMICA"|"Refrigerator"|"A+"|106|24|45|85|41|18|1|83|NA|83|"edigital"|46990|"https://edigital.hu/egyajtos-huto/amica-fc1004-egyajtos-hutoszekreny-p588351"
26|"AMICA FC1224.4 white"|"AMICA FC1224.4"|"white"|"AMICA"|"Refrigerator"|"A+"|110|24|48|85|45|20|1|83|NA|83|"mediamarkt"|49999|"https://www.mediamarkt.hu/hu/product/_amica-fc1224-4-h%C5%B1t%C5%91szekr%C3%A9ny-1280134.html"
27|"AMICA FD2015.4 white"|"AMICA FD2015.4"|"white"|"AMICA"|"Refrigerator"|"A+"|204|24|54|122|57|NA|2|126|42|168|"mediamarkt"|80999|"https://www.mediamarkt.hu/hu/product/_amica-fd2015-4-fel%C3%BClfagyaszt%C3%B3s-kombin%C3%A1lt-h%C5%B1t%C5%91szekr%C3%A9ny-1283900.html"
28|"AMICA FD2015.4X grey"|"AMICA FD2015.4X"|"grey"|"AMICA"|NA|"A+"|204|24|54|122|57|NA|2|126|42|168|"mediamarkt"|85999|"https://www.mediamarkt.hu/hu/product/_amica-fd2015-4x-fel%C3%BClfagyaszt%C3%B3s-kombin%C3%A1lt-h%C5%B1t%C5%91szekr%C3%A9ny-1291589.html"
29|"AMICA FD4328.3DFX grey"|"AMICA FD4328.3DFX"|"grey"|"AMICA"|NA|"A+"|389|24|79|176|74|87|NA|374|116|490|"mediamarkt"|224899|"https://www.mediamarkt.hu/hu/product/_amica-fd4328-3dfx-fel%C3%BClfagyaszt%C3%B3s-kombin%C3%A1lt-h%C5%B1t%C5%91szekr%C3%A9ny-1268423.html"
30|"AMICA FK2965.3LAA blue"|"AMICA FK2965.3LAA"|"blue"|"AMICA"|"Refrigerator"|"A++"|188|24|55|181|62|NA|2|244|63|307|"mediamarkt"|143896|"https://www.mediamarkt.hu/hu/product/_amica-fk2965-3laa-kombin%C3%A1lt-h%C5%B1t%C5%91szekr%C3%A9ny-1280140.html"
30|"AMICA FK2965.3LAA blue"|"AMICA FK2965.3LAA"|"blue"|"AMICA"|"Refrigerator"|"A++"|188|24|55|181|62|NA|2|244|63|307|"edigital"|151990|"https://edigital.hu/alulfagyasztos-huto/amica-fk29653laa-kombinalt-hutoszekreny-p617836"
31|"AMICA FK3857.4DFX grey"|"AMICA FK3857.4DFX"|"grey"|"AMICA"|NA|"A+"|337|24|68|176|74|86|NA|288|97|385|"mediamarkt"|208999|"https://www.mediamarkt.hu/hu/product/_amica-fk3857-4dfx-no-frost-kombin%C3%A1lt-h%C5%B1t%C5%91szekr%C3%A9ny-1268424.html"
32|"AMICA FM050.4 white"|"AMICA FM050.4"|"white"|"AMICA"|"Refrigerator"|"A+"|106|24|47|50|45|15|1|41|5|46|"mediamarkt"|37899|"https://www.mediamarkt.hu/hu/product/_amica-fm050-4-h%C5%B1t%C5%91szekr%C3%A9ny-1240432.html"
32|"AMICA FM050.4 white"|"AMICA FM050.4"|"white"|"AMICA"|"Refrigerator"|"A+"|106|24|47|50|45|15|1|41|5|46|"edigital"|29990|"https://edigital.hu/mini-huto/amica-fm-0504-mini-hutoszekreny-p515970"
33|"AMICA FM133.3AA white"|"AMICA FM133.3AA"|"white"|"AMICA"|"Refrigerator"|"A++"|131|24|55|85|62|NA|1|93|13|106|"mediamarkt"|68999|"https://www.mediamarkt.hu/hu/product/_amica-fm133-3aa-h%C5%B1t%C5%91szekr%C3%A9ny-1280136.html"
34|"AMICA FM136.3AAA white"|"AMICA FM136.3AAA"|"white"|"AMICA"|"Refrigerator"|"A+++"|89|24|55|84|57|NA|NA|97|12|109|"mediamarkt"|71999|"https://www.mediamarkt.hu/hu/product/_amica-fm136-3aaa-h%C5%B1t%C5%91szekr%C3%A9ny-1268419.html"
34|"AMICA FM136.3AAA white"|"AMICA FM136.3AAA"|"white"|"AMICA"|"Refrigerator"|"A+++"|89|24|55|84|57|NA|NA|97|12|109|"edigital"|64990|"https://edigital.hu/egyajtos-huto/amica-fm1363aaa-egyajtos-hutoszekreny-p564787"
35|"AMICA FS101.3 white"|"AMICA FS101.3"|"white"|"AMICA"|"Freezer"|"A+"|168|24|54|84|56|23|NA|NA|95|95|"mediamarkt"|60999|"https://www.mediamarkt.hu/hu/product/_amica-fs101-3-fagyaszt%C3%B3l%C3%A1da-1284474.html"
36|"AMICA KGC 15631 claret"|"AMICA KGC 15631"|"claret"|"AMICA"|"Refrigerator"|"A++"|172|24|55|144|62|44|2|164|44|208|"mediamarkt"|116896|"https://www.mediamarkt.hu/hu/product/_amica-kgc-15631-r-fel%C3%BClfagyaszt%C3%B3s-kombin%C3%A1lt-h%C5%B1t%C5%91szekr%C3%A9ny-1249100.html"
36|"AMICA KGC 15631 claret"|"AMICA KGC 15631"|"claret"|"AMICA"|"Refrigerator"|"A++"|172|24|55|144|62|44|2|164|44|208|"edigital"|116990|"https://edigital.hu/felulfagyasztos-huto/amica-kgc-15631-r-felulfagyasztos-hutoszekreny-bordo-p530300"
37|"AMICA KGC 15632T blue"|"AMICA KGC 15632T"|"blue"|"AMICA"|NA|"A++"|172|24|55|144|62|NA|2|168|45|213|"mediamarkt"|123899|"https://www.mediamarkt.hu/hu/product/_amica-kgc-15632t-fel%C3%BClfagyaszt%C3%B3s-kombin%C3%A1lt-h%C5%B1t%C5%91szekr%C3%A9ny-1277432.html"
38|"AMICA KGC 15634 black"|"AMICA KGC 15634"|"black"|"AMICA"|"Refrigerator"|"A++"|172|24|55|144|62|41|2|168|45|213|"mediamarkt"|116896|"https://www.mediamarkt.hu/hu/product/_amica-kgc-15634-s-fel%C3%BClfagyaszt%C3%B3s-kombin%C3%A1lt-h%C5%B1t%C5%91szekr%C3%A9ny-1269627.html"
38|"AMICA KGC 15634 black"|"AMICA KGC 15634"|"black"|"AMICA"|"Refrigerator"|"A++"|172|24|55|144|62|41|2|168|45|213|"edigital"|116990|"https://edigital.hu/felulfagyasztos-huto/amica-kgc-15634-s-felulfagyasztos-hutoszekreny-p586214"
39|"AMICA KGC 15635B beige"|"AMICA KGC 15635B"|"beige"|"AMICA"|"Refrigerator"|"A++"|172|24|55|144|62|41|2|168|45|213|"mediamarkt"|121999|"https://www.mediamarkt.hu/hu/product/_amica-kgc-15635b-fel%C3%BClfagyaszt%C3%B3s-kombin%C3%A1lt-h%C5%B1t%C5%91szekr%C3%A9ny-1268418.html"
39|"AMICA KGC 15635B beige"|"AMICA KGC 15635B"|"beige"|"AMICA"|"Refrigerator"|"A++"|172|24|55|144|62|41|2|168|45|213|"edigital"|114990|"https://edigital.hu/felulfagyasztos-huto/amica-kgc-15635b-felulfagyasztos-hutoszekreny-p577970"
40|"AMICA KGC 15686 white"|"AMICA KGC 15686"|"white"|"AMICA"|"Refrigerator"|"A+"|222|24|55|140|57|45|2|164|44|208|"mediamarkt"|72999|"https://www.mediamarkt.hu/hu/product/_amica-kgc-15686-w-fel%C3%BClfagyaszt%C3%B3s-kombin%C3%A1lt-h%C5%B1t%C5%91szekr%C3%A9ny-1219834.html"
41|"AMICA KGC15636P pink"|"AMICA KGC15636P"|"pink"|"AMICA"|"Refrigerator"|"A++"|172|24|55|144|62|NA|2|168|45|213|"mediamarkt"|119899|"https://www.mediamarkt.hu/hu/product/_amica-kgc15636p-fel%C3%BClfagyaszt%C3%B3s-kombin%C3%A1lt-h%C5%B1t%C5%91szekr%C3%A9ny-1291590.html"
41|"AMICA KGC15636P pink"|"AMICA KGC15636P"|"pink"|"AMICA"|"Refrigerator"|"A++"|172|24|55|144|62|NA|2|168|45|213|"edigital"|119990|"https://edigital.hu/felulfagyasztos-huto/amica-kgc15636p-felulfagyasztos-hutoszekreny-p633328"
42|"AMICA KS 15610 red"|"AMICA KS 15610"|"red"|"AMICA"|"Refrigerator"|"A++"|133|24|55|86|62|28|1|93|13|106|"mediamarkt"|74899|"https://www.mediamarkt.hu/hu/product/_amica-ks-15610-r-h%C5%B1t%C5%91szekr%C3%A9ny-1235781.html"
42|"AMICA KS 15610 red"|"AMICA KS 15610"|"red"|"AMICA"|"Refrigerator"|"A++"|133|24|55|86|62|28|1|93|13|106|"edigital"|74990|"https://edigital.hu/egyajtos-huto/amica-ks-15610-r-1-hutoszekreny-p506707"
43|"AMICA KS 15612 blue"|"AMICA KS 15612"|"blue"|"AMICA"|"Refrigerator"|"A++"|133|24|55|86|62|28|1|93|13|106|"mediamarkt"|74899|"https://www.mediamarkt.hu/hu/product/_amica-ks-15612-t-h%C5%B1t%C5%91szekr%C3%A9ny-1235783.html"
43|"AMICA KS 15612 blue"|"AMICA KS 15612"|"blue"|"AMICA"|"Refrigerator"|"A++"|133|24|55|86|62|28|1|93|13|106|"edigital"|68990|"https://edigital.hu/egyajtos-huto/amica-ks-15612-t-1-hutoszekreny-kek-p506709"
44|"AMICA KS 15615 beige"|"AMICA KS 15615"|"beige"|"AMICA"|"Refrigerator"|"A++"|133|24|55|86|62|28|1|93|13|106|"mediamarkt"|74899|"https://www.mediamarkt.hu/hu/product/_amica-ks-15615-b-h%C5%B1t%C5%91szekr%C3%A9ny-1235785.html"
44|"AMICA KS 15615 beige"|"AMICA KS 15615"|"beige"|"AMICA"|"Refrigerator"|"A++"|133|24|55|86|62|28|1|93|13|106|"edigital"|74990|"https://edigital.hu/felulfagyasztos-huto/amica-ks-15615-b-hutoszekreny-p508187"
45|"AMICA KS 15616 pink"|"AMICA KS 15616"|"pink"|"AMICA"|"Refrigerator"|"A++"|133|24|55|86|62|28|1|93|13|106|"mediamarkt"|74899|"https://www.mediamarkt.hu/hu/product/_amica-ks-15616-p-h%C5%B1t%C5%91szekr%C3%A9ny-1235786.html"
